file_name,class,xmin,ymin,xmax,ymax,height,width
00075905539074f2.jpg,Man,328,0,655,602,914,1024
00075905539074f2.jpg,Man,691,157,1015,866,914,1024
0007cebe1b2ba653.jpg,Trousers,753,15,948,275,683,1024
0007cebe1b2ba653.jpg,Dog,430,123,812,492,683,1024
0007cebe1b2ba653.jpg,Human leg,750,18,841,275,683,1024
0007cebe1b2ba653.jpg,Human leg,845,4,953,256,683,1024
0007cebe1b2ba653.jpg,Person,752,0,954,252,683,1024
0007cebe1b2ba653.jpg,Mammal,749,0,963,265,683,1024
0007cebe1b2ba653.jpg,Footwear,919,229,951,252,683,1024
0007cebe1b2ba653.jpg,Human arm,795,0,823,13,683,1024
0007d6cf88afaa4a.jpg,Dog,177,133,923,578,614,1024
0008e425fb49a2bf.jpg,Dog,223,114,705,956,1024,987
0009bad4d8539bb4.jpg,Airplane,301,232,722,351,681,1024
000a045a0715d64d.jpg,Person,366,244,416,349,680,1024
000a045a0715d64d.jpg,Person,377,280,476,343,680,1024
000a045a0715d64d.jpg,Person,441,223,491,324,680,1024
000a045a0715d64d.jpg,Person,491,194,568,325,680,1024
000a045a0715d64d.jpg,Mammal,363,196,472,345,680,1024
000a045a0715d64d.jpg,Mammal,443,189,500,327,680,1024
000a045a0715d64d.jpg,Mammal,488,159,570,319,680,1024
000a1249af2bc5f0.jpg,Fashion accessory,441,189,612,329,678,1024
000a1249af2bc5f0.jpg,Fashion accessory,459,320,545,365,678,1024
000a1249af2bc5f0.jpg,Person,0,0,605,676,678,1024
000a1249af2bc5f0.jpg,Clothing,582,1,1022,634,678,1024
000a1249af2bc5f0.jpg,Human body,0,0,433,674,678,1024
000a1249af2bc5f0.jpg,Human body,233,0,1022,670,678,1024
000a1249af2bc5f0.jpg,Human hand,18,61,310,434,678,1024
000a1249af2bc5f0.jpg,Human hand,227,285,677,678,678,1024
000a1249af2bc5f0.jpg,Human hand,313,190,603,508,678,1024
000a1249af2bc5f0.jpg,Human arm,0,0,314,419,678,1024
000a1249af2bc5f0.jpg,Human arm,222,0,804,533,678,1024
000a1249af2bc5f0.jpg,Human arm,231,288,721,674,678,1024
000a1249af2bc5f0.jpg,Woman,0,0,1024,678,678,1024
000a1249af2bc5f0.jpg,Man,227,0,1022,670,678,1024
000ada55d36b4bcb.jpg,Salad,146,34,1022,679,683,1024
